时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-5 18:15:48:63	WTSDCL(FE:D5:86:66:1D:7C)	-0.253	-0.966	0.109	-4.395	-1.953	-9.094	-84.40	17.13	97.49	89.500	20.300	-14.167	-0.40918	0.51932	0.43008	-0.61465	7.1	10092.1.12	100
2025-6-5 18:15:48:103	WT901BLE67(C1:AA:08:9C:D1:14)	-0.517	0.856	-0.054	0.671	-0.244	0.366	94.93	31.16	-7.37	10.750	-44.500	-77.892	0.64142	0.72086	0.12692	-0.22961	-3.3	10080.1.21	100
2025-6-5 18:15:48:172	WT901BLE67(E9:8A:1A:DD:D5:28)	0.478	0.847	-0.037	0.183	0.000	-0.122	92.09	-30.35	-139.92	-60.250	2.375	53.867	0.40610	0.06699	-0.71390	-0.56641	-2.4	10080.1.21	100
2025-6-5 18:15:48:179	WTSDCL(FE:D5:86:66:1D:7C)	-0.228	-0.975	0.102	-2.869	-1.892	-8.911	-84.72	16.08	97.60	89.500	20.300	-14.167	-0.40918	0.51932	0.43008	-0.61465	7.1	10092.1.12	100
2025-6-5 18:15:48:219	WT901BLE67(C1:AA:08:9C:D1:14)	-0.489	0.855	-0.056	0.183	-0.183	0.610	94.93	31.16	-7.36	10.750	-44.500	-77.892	0.64142	0.72086	0.12692	-0.22961	-3.3	10080.1.21	100
2025-6-5 18:15:48:260	WT901BLE67(E9:8A:1A:DD:D5:28)	0.499	0.893	-0.031	0.183	-0.305	0.916	92.05	-30.34	-139.89	-60.250	2.375	53.867	0.40656	0.06644	-0.71262	-0.56778	-2.4	10080.1.21	100
2025-6-5 18:15:48:269	WTSDCL(FE:D5:86:66:1D:7C)	-0.220	-0.982	0.106	-1.953	-1.160	-7.446	-84.89	15.16	97.66	89.442	24.308	-16.358	-0.40918	0.51932	0.43008	-0.61465	7.1	10092.1.12	100
2025-6-5 18:15:48:310	WT901BLE67(C1:AA:08:9C:D1:14)	-0.483	0.854	-0.058	0.183	-0.061	0.122	94.93	31.13	-7.36	11.125	-46.875	-72.242	0.64142	0.72086	0.12692	-0.22961	-3.3	10080.1.21	100
2025-6-5 18:15:48:359	WTSDCL(FE:D5:86:66:1D:7C)	-0.217	-0.985	0.093	0.305	3.235	-6.592	-84.95	14.27	97.62	89.442	24.308	-16.358	-0.40918	0.51932	0.43008	-0.61465	7.1	10092.1.12	100
2025-6-5 18:15:48:380	WT901BLE67(E9:8A:1A:DD:D5:28)	0.518	0.858	-0.022	0.000	0.061	0.183	92.01	-30.34	-139.87	-60.250	2.375	53.867	0.40656	0.06644	-0.71262	-0.56778	-2.4	10080.1.21	100
